ABW,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
ABW,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
AFG,SII - Covishield,Covishield,Serum Institute of India
AFG,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
AFG,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
AFG,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
AGO,SII - Covishield,Covishield,Serum Institute of India
AIA,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ALB,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ALB,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
ALB,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
ALB,SII - Covishield,Covishield,Serum Institute of India
ALB,Sinovac - CoronaVac,Coronavac,Sinovac
AND,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
AND,Moderna - mRNA-1273,mRNA-1273,Moderna
AND,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ARE,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ARE,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
ARE,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
ARE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
ARE,SII - Covishield,Covishield,Serum Institute of India
ARG,SII - Covishield,Covishield,Serum Institute of India
ARG,Moderna - mRNA-1273,mRNA-1273,Moderna
ARG,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
ARG,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
ARG,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ARM,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ARM,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
ARM,Sinovac - CoronaVac,Coronavac,Sinovac
ASM,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
ASM,Moderna - mRNA-1273,mRNA-1273,Moderna
ASM,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
ATG,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
ATG,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
ATG,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ATG,SII - Covishield,Covishield,Serum Institute of India
AUS,Novavax - Covavax,Covavax,Novavax
AUS,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
AUS,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
AUT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
AUT,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
AUT,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
AUT,Moderna - mRNA-1273,mRNA-1273,Moderna
AZE,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
AZE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
AZE,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
AZE,Sinovac - CoronaVac,Coronavac,Sinovac
BEL,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
BEL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
BEL,Moderna - mRNA-1273,mRNA-1273,Moderna
BEL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
BEN,Sinovac - CoronaVac,Coronavac,Sinovac
BEN,SII - Covishield,Covishield,Serum Institute of India
BES,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
BES,Moderna - mRNA-1273,mRNA-1273,Moderna
BFA,SII - Covishield,Covishield,Serum Institute of India
BGD,Sinovac - CoronaVac,Coronavac,Sinovac
BGD,SII - Covishield,Covishield,Serum Institute of India
BGD,Moderna - mRNA-1273,mRNA-1273,Moderna
BGD,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
BGD,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
BGD,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
BGD,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
BGD,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
